workload,policy,hit_rate_mean,hit_rate_std,miss_rate_mean,miss_rate_std,hits_mean,hits_std,misses_mean,misses_std,evictions_mean,evictions_std,scans_mean,scans_std,throughput_ops_mean,throughput_ops_std,elapsed_ms_mean,elapsed_ms_std,evict_per_miss_mean,evict_per_miss_std,workload_score
"Scan-Resistant (90% hot)",AUG-ADAPT,89.6030,0.0000,10.3970,0.0000,89603.0000,0.0000,10397.0000,0.0000,8524.0000,0.0000,0.0000,0.0000,4958632.1307,569946.9712,20.4163,2.1703,0.8199,0.0000,0.6758
"Scan-Resistant (90% hot)",AUG-ADAPT-FLAT,89.6030,0.0000,10.3970,0.0000,89603.0000,0.0000,10397.0000,0.0000,8524.0000,0.0000,0.0000,0.0000,3751022.2375,258945.7231,26.7928,1.9331,0.8199,0.0000,0.6639
"Scan-Resistant (90% hot)",QuotaFree,15.3910,0.0000,84.6090,0.0000,15391.0000,0.0000,84609.0000,0.0000,83609.0000,0.0000,0.0000,0.0000,6209120.1475,49556.2248,16.1064,0.1292,0.9882,0.0000,0.1887
"Scan-Resistant (90% hot)",REMARC-1L,68.8460,0.0000,31.1540,0.0000,68846.0000,0.0000,31154.0000,0.0000,30154.0000,0.0000,0.0000,0.0000,5666476.6925,31642.0945,17.6482,0.0984,0.9679,0.0000,0.5398
"Scan-Resistant (90% hot)",REMARC-2L,74.4430,0.0000,25.5570,0.0000,74443.0000,0.0000,25557.0000,0.0000,24533.0000,0.0000,0.0000,0.0000,5245546.8240,55624.4206,19.0659,0.2036,0.9599,0.0000,0.5732
"Scan-Resistant (90% hot)",REMARC-BLOOM,46.9160,0.0000,53.0840,0.0000,46916.0000,0.0000,53084.0000,0.0000,53000.0000,0.0000,0.0000,0.0000,16249099.8838,110784.1673,6.1545,0.0420,0.9984,0.0000,0.4968
"Scan-Resistant (90% hot)",HISTATOM,26.8060,0.0000,73.1940,0.0000,26806.0000,0.0000,73194.0000,0.0000,72194.0000,0.0000,0.0000,0.0000,183590.9688,837.7251,544.7004,2.4816,0.9863,0.0000,0.2057
"Scan-Resistant (90% hot)",HISTATOM2,31.9100,0.0000,68.0900,0.0000,31910.0000,0.0000,68090.0000,0.0000,66980.0000,0.0000,0.0000,0.0000,156400.6477,912.2076,639.4054,3.7446,0.9837,0.0000,0.2395
"Scan-Resistant (90% hot)",HISTATOM3,74.9270,0.0000,25.0730,0.0000,74927.0000,0.0000,25073.0000,0.0000,24073.0000,0.0000,0.0000,0.0000,702281.5168,11777.9285,142.4336,2.4171,0.9601,0.0000,0.5318
"Scan-Resistant (90% hot)",HISTATOM4,81.7330,0.0000,18.2670,0.0000,81733.0000,0.0000,18267.0000,0.0000,13390.0000,0.0000,0.0000,0.0000,149401.3439,5299.2585,670.1639,23.2851,0.7330,0.0000,0.5798
"Scan-Resistant (90% hot)",HISTATOM5,83.6610,0.0000,16.3390,0.0000,83661.0000,0.0000,16339.0000,0.0000,11462.0000,0.0000,0.0000,0.0000,98177.6955,1862.9453,1018.9309,19.4790,0.7015,0.0000,0.5937
"Temporal Shift (period=4)",LRU,74.5890,0.0000,25.4110,0.0000,74589.0000,0.0000,25411.0000,0.0000,24411.0000,0.0000,0.0000,0.0000,33697025.3423,2425314.6933,2.9839,0.2262,0.9606,0.0000,0.9155
"Temporal Shift (period=4)",ARC,74.7260,0.0000,25.2740,0.0000,74726.0000,0.0000,25274.0000,0.0000,23274.0000,0.0000,0.0000,0.0000,14293565.9517,316702.2496,6.9996,0.1550,0.9209,0.0000,0.7757
"Temporal Shift (period=4)",ARC-FLAT,74.7260,0.0000,25.2740,0.0000,74726.0000,0.0000,25274.0000,0.0000,23274.0000,0.0000,0.0000,0.0000,1820618.6246,6592.7061,54.9271,0.1984,0.9209,0.0000,0.6831
"Temporal Shift (period=4)",ARC-FLATLL,74.7260,0.0000,25.2740,0.0000,74726.0000,0.0000,25274.0000,0.0000,23274.0000,0.0000,0.0000,0.0000,16402763.5793,198069.6677,6.0974,0.0741,0.9209,0.0000,0.7913
"Temporal Shift (period=4)",ARC-FLATLL2,74.7260,0.0000,25.2740,0.0000,74726.0000,0.0000,25274.0000,0.0000,23274.0000,0.0000,0.0000,0.0000,20344660.9585,78028.4393,4.9154,0.0188,0.9209,0.0000,0.8206
"Temporal Shift (period=4)",HYBRID,58.7670,0.0000,41.2330,0.0000,58767.0000,0.0000,41233.0000,0.0000,39233.0000,0.0000,0.0000,0.0000,674472.9382,1309.6613,148.2645,0.2877,0.9515,0.0000,0.5449
"Temporal Shift (period=4)",HYBRID-POS,74.7440,0.0000,25.2560,0.0000,74744.0000,0.0000,25256.0000,0.0000,23256.0000,0.0000,0.0000,0.0000,698915.3442,14132.4924,143.1381,2.9283,0.9208,0.0000,0.6750
"Temporal Shift (period=4)",HYBRID-FB,58.7670,0.0000,41.2330,0.0000,58767.0000,0.0000,41233.0000,0.0000,39233.0000,0.0000,0.0000,0.0000,644267.1150,1699.3986,155.2162,0.4088,0.9515,0.0000,0.5447
"Temporal Shift (period=4)",REMARC,53.3560,0.0000,46.6440,0.0000,53356.0000,0.0000,46644.0000,0.0000,45632.0000,0.0000,1426.0000,0.0000,6163321.7760,131965.5154,16.2326,0.3527,0.9783,0.0000,0.5405
"Temporal Shift (period=4)",REMARC-OPT,74.5570,0.0000,25.4430,0.0000,74557.0000,0.0000,25443.0000,0.0000,24448.0000,0.0000,3056.0000,0.0000,26463703.4211,322088.1269,3.7793,0.0456,0.9609,0.0000,0.8616
"Temporal Shift (period=4)",REMARC-LazyInc,53.1460,0.0000,46.8540,0.0000,53146.0000,0.0000,46854.0000,0.0000,45856.0000,0.0000,11464.0000,0.0000,4936120.5291,17648.9856,20.2591,0.0723,0.9787,0.0000,0.5297
"Temporal Shift (period=4)",REMARC-S3,64.7260,0.0000,35.2740,0.0000,64726.0000,0.0000,35274.0000,0.0000,24256.0000,0.0000,3032.0000,0.0000,15068782.9682,127315.7258,6.6367,0.0564,0.6876,0.0000,0.7264
"Temporal Shift (period=4)",REMARC-LFU,74.5570,0.0000,25.4430,0.0000,74557.0000,0.0000,25443.0000,0.0000,24448.0000,0.0000,3056.0000,0.0000,24470674.3069,376008.7711,4.0875,0.0621,0.9609,0.0000,0.8468
"Temporal Shift (period=4)",REMARC-TinyLFU,74.1230,0.0000,25.8770,0.0000,74123.0000,0.0000,25877.0000,0.0000,24224.0000,0.0000,3028.0000,0.0000,21796511.6736,82291.9095,4.5880,0.0174,0.9361,0.0000,0.8253
"Temporal Shift (period=4)",REMARC-GhostField,74.5570,0.0000,25.4430,0.0000,74557.0000,0.0000,25443.0000,0.0000,24448.0000,0.0000,3056.0000,0.0000,2649227.7861,88329.3619,37.7881,1.2361,0.9609,0.0000,0.6849
"Temporal Shift (period=4)",REMARC-GhostGate,49.4520,0.0000,50.5480,0.0000,49452.0000,0.0000,50548.0000,0.0000,24128.0000,0.0000,3016.0000,0.0000,1440587.9208,4941.6777,69.4169,0.2376,0.4773,0.0000,0.5464
"Temporal Shift (period=4)",REMARC-BloomGate,46.1880,0.0000,53.8120,0.0000,46188.0000,0.0000,53812.0000,0.0000,24128.0000,0.0000,3016.0000,0.0000,12121771.3654,1608573.4090,8.4129,1.2309,0.4484,0.0000,0.6087
"Temporal Shift (period=4)",REMARC-BloomMod,73.8300,0.0000,26.1700,0.0000,73830.0000,0.0000,26170.0000,0.0000,25152.0000,0.0000,3144.0000,0.0000,14474891.1708,289684.2259,6.9113,0.1380,0.9611,0.0000,0.7668
"Temporal Shift (period=4)",REMARC-FACT,56.7160,0.0000,43.2840,0.0000,56716.0000,0.0000,43284.0000,0.0000,42272.0000,0.0000,5284.0000,0.0000,12054074.1511,121067.0178,8.2968,0.0828,0.9766,0.0000,0.6111
"Temporal Shift (period=4)",REMARC-TIER,74.5570,0.0000,25.4430,0.0000,74557.0000,0.0000,25443.0000,0.0000,24448.0000,0.0000,3056.0000,0.0000,15114772.2062,587542.6597,6.6263,0.2644,0.9609,0.0000,0.7774
"Temporal Shift (period=4)",REMARC-Dual,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500
"Temporal Shift (period=4)",REMARC-MS,74.4480,0.0000,25.5520,0.0000,74448.0000,0.0000,25552.0000,0.0000,24544.0000,0.0000,3068.0000,0.0000,8541793.6578,140135.4325,11.7103,0.1914,0.9606,0.0000,0.7278
"Temporal Shift (period=4)",REMARC-STEP,74.4160,0.0000,25.5840,0.0000,74416.0000,0.0000,25584.0000,0.0000,24576.0000,0.0000,3072.0000,0.0000,9730775.3535,82091.4203,10.2774,0.0863,0.9606,0.0000,0.7363
"Temporal Shift (period=4)",REMARC-STEPK,9.4920,0.0000,90.5080,0.0000,9492.0000,0.0000,90508.0000,0.0000,89508.0000,0.0000,2864256.0000,0.0000,952774.9717,4475.0907,104.9589,0.4944,0.9890,0.0000,0.1509
"Temporal Shift (period=4)",AUG-TS4,75.1370,0.0000,24.8630,0.0000,75137.0000,0.0000,24863.0000,0.0000,22863.0000,0.0000,0.0000,0.0000,7433273.3160,44170.6755,13.4535,0.0800,0.9196,0.0000,0.7282
"Temporal Shift (period=4)",AUG-PRED,75.1510,0.0000,24.8490,0.0000,75151.0000,0.0000,24849.0000,0.0000,22849.0000,0.0000,0.0000,0.0000,9773250.6852,284751.0777,10.2409,0.3044,0.9195,0.0000,0.7457
"Temporal Shift (period=4)",AUG-HEAP,67.5810,0.0000,32.4190,0.0000,67581.0000,0.0000,32419.0000,0.0000,30419.0000,0.0000,0.0000,0.0000,7099201.4832,395945.1350,14.1315,0.8143,0.9383,0.0000,0.6639
"Temporal Shift (period=4)",AUG-BOTHEND,58.2190,0.0000,41.7810,0.0000,58219.0000,0.0000,41781.0000,0.0000,39781.0000,0.0000,0.0000,0.0000,10523027.0501,155912.7265,9.5051,0.1423,0.9521,0.0000,0.6135
"Temporal Shift (period=4)",AUG-ADAPT,75.1370,0.0000,24.8630,0.0000,75137.0000,0.0000,24863.0000,0.0000,22863.0000,0.0000,0.0000,0.0000,7434831.2804,702310.9994,13.5793,1.3674,0.9196,0.0000,0.7282
"Temporal Shift (period=4)",AUG-ADAPT-FLAT,75.1370,0.0000,24.8630,0.0000,75137.0000,0.0000,24863.0000,0.0000,22863.0000,0.0000,0.0000,0.0000,5556129.6201,276302.2730,18.0437,0.9173,0.9196,0.0000,0.7142
